Territory,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT people allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression,Lack of a Presence of Anti-LGBT laws,Region,Continent
Algeria,No,No,No,No,No,No,No,Unknown,Northern Africa,Africa
Canary Islands,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Northern Africa,Africa
Ceuta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Northern Africa,Africa
Egypt,No,No,No,No,No,No,No,Unknown,Northern Africa,Africa
Libya,No,No,No,No,No,No,No,Unknown,Northern Africa,Africa
Madeira,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Northern Africa,Africa
Melilla,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Northern Africa,Africa
Morocco,No,No,No,No,No,No,No,Unknown,Northern Africa,Africa
Sahrawi Arab Democratic Republic,No,No,No,No,No,No,No,Unknown,Northern Africa,Africa
Sudan,No,No,No,No,No,No,No,Unknown,Northern Africa,Africa
Tunisia,No,No,No,No,No,No,No,Unknown,Northern Africa,Africa
Benin,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Western Africa,Africa
Burkina Faso,No,No,No,No,Unknown,Yes,Unknown,Unknown,Western Africa,Africa
Cape Verde,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Western Africa,Africa
Gambia,No,No,No,No,No,No,No,Unknown,Western Africa,Africa
Ghana,No,No,No,No,No,Yes,No,Unknown,Western Africa,Africa
Guinea,No,No,No,No,No,Yes,No,Unknown,Western Africa,Africa
Guinea-Bissau,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Western Africa,Africa
Ivory Coast,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Western Africa,Africa
Liberia,No,No,No,No,No,Yes,No,Unknown,Western Africa,Africa
Mali,No,No,No,No,Unknown,Yes,No,Unknown,Western Africa,Africa
Mauritania,No,No,No,No,No,No,No,Unknown,Western Africa,Africa
Niger,Yes,No,No,No,Unknown,Yes,No,Unknown,Western Africa,Africa
Nigeria,No,No,No,No,No,Yes,No,Unknown,Western Africa,Africa
"Saint Helena, Ascension and Tristan da Cunha",Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Western Africa,Africa
Senegal,No,No,No,No,No,Yes,No,Unknown,Western Africa,Africa
Sierra Leone,No,No,No,No,No,Yes,No,Unknown,Western Africa,Africa
Togo,No,No,No,No,No,Yes,No,Unknown,Western Africa,Africa
Cameroon,No,No,No,No,No,No,No,Unknown,Central Africa,Africa
Central African Republic,Yes,No,No,No,Unknown,Yes,No,Unknown,Central Africa,Africa
Chad,No,No,No,No,No,Yes,No,Unknown,Central Africa,Africa
Democratic Republic of the Congo,Yes,No,No,No,Unknown,Yes,No,Unknown,Central Africa,Africa
Republic of the Congo,Yes,No,No,No,Unknown,Yes,No,Unknown,Central Africa,Africa
Equatorial Guinea,Yes,No,No,No,Unknown,Yes,No,Unknown,Central Africa,Africa
Gabon,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Central Africa,Africa
São Tomé and Príncipe,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Central Africa,Africa
Burundi,No,No,No,No,No,No,No,Unknown,Eastern Africa,Africa
Djibouti,Yes,No,No,No,Unknown,Yes,No,Unknown,Eastern Africa,Africa
Eritrea,No,No,No,No,No,No,No,Unknown,Eastern Africa,Africa
Ethiopia,No,No,No,No,No,No,No,Unknown,Eastern Africa,Africa
Kenya,No,No,No,No,No,Yes,Yes,Unknown,Eastern Africa,Africa
Rwanda,Yes,No,No,No,Unknown,Yes,No,Unknown,Eastern Africa,Africa
Somalia,No,No,No,No,No,No,No,Unknown,Eastern Africa,Africa
Somaliland,No,No,No,No,No,No,No,Unknown,Eastern Africa,Africa
South Sudan,No,No,No,No,No,Yes,No,Unknown,Eastern Africa,Africa
Tanzania,No,No,No,No,No,Yes,No,Unknown,Eastern Africa,Africa
Uganda,No,No,No,No,No,No,No,Unknown,Eastern Africa,Africa
Comoros,No,No,No,No,No,Yes,No,Unknown,Indian Ocean states,Africa
French Southern and Antarctic Lands,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Indian Ocean states,Africa
Madagascar,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Indian Ocean states,Africa
Mayotte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Indian Ocean states,Africa
Mauritius,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Indian Ocean states,Africa
Réunion,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Indian Ocean states,Africa
Seychelles,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Indian Ocean states,Africa
Angola,Yes,No,No,No,No,Yes,Unknown,Unknown,Southern Africa,Africa
Botswana,Yes,No,No,No,Yes,Yes,Yes,Unknown,Southern Africa,Africa
Eswatini,No,No,No,No,No,Yes,Yes,Unknown,Southern Africa,Africa
Lesotho,Yes,No,No,No,Unknown,Yes,Yes,Unknown,Southern Africa,Africa
Malawi,No,No,No,No,No,Yes,No,Unknown,Southern Africa,Africa
Mozambique,Yes,No,No,No,No,Yes,Unknown,Unknown,Southern Africa,Africa
Namibia,Yes,No,No,No,No,Yes,Yes,Unknown,Southern Africa,Africa
South Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Southern Africa,Africa
Zambia,No,No,No,No,No,Yes,No,Unknown,Southern Africa,Africa
Zimbabwe,No,No,No,No,No,Yes,No,Unknown,Southern Africa,Africa
Bermuda,Yes,Yes,No,Yes,Yes,Yes,No,Unknown,North America,Americas
Canada,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,North America,Americas
Greenland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,North America,Americas
Mexico,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,North America,Americas
